"asset_type","struct","field","offset","size","serialized_type","readiness","ps3_evidence","observed_values","xbox_correlation","notes"
"Weapon","WeaponOverlayFields","Reticle/Interface/Dimensions","0x318","0x18","WeaponOverlayReticle, WeaponOverlayInterface, int32[4]","RESOLVED","Active WeaponDef loader reads these six dwords immediately after the four overlay material alias cells and before ADS bob/spread fields; no child pointers are resolved in this region.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names overlayReticle, overlayInterface, overlayWidth, overlayHeight, overlayWidthSplitscreen, overlayHeightSplitscreen; PDB strings expose weapOverlayReticle_t and WEAPOVERLAYINTERFACE enum values","Former OverlayDimensionFields aggregate"
"Weapon","WeaponDef","AdsViewAndSpread","0x330","0x98","WeaponAdsViewAndSpreadFields","RESOLVED","Active WeaponDef loader reads this fixed root region as thirty-eight float fields immediately after overlay dimensions and before the PhysCollmap alias-cell pointer.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names fAdsBobFactor through adsViewErrorMax in this exact 38-field sequence","Former BobSpreadIdleSwayAdsViewErrorFields int32[38] aggregate"
"Weapon","WeaponDef","PhysCollmapPointer","0x3C8","0x04","PhysCollmap* alias","RESOLVED","Active WeaponDef loader proves an alias-cell PhysCollmap pointer at +0x3C8 and resolves it through the PhysCollmap pointer consumer path.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names this field physCollmap immediately after adsViewErrorMax","Former PhysCollmapPointer3C8 offset-suffixed name"
"Weapon","WeaponPhysicsFields","DualWieldViewModelOffset/KillIconRatio","0x3CC","0x08","float, int32","RESOLVED","Active WeaponDef loader reads the first two dwords after physCollmap as named physics/icon fields.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names dualWieldViewModelOffset and killIconRatio at this position; Xbox map strings format killIconRatio as %d","Former PhysicsFieldsA aggregate"
"Weapon","WeaponPhysicsFields","ReloadAndAmmoDropFields","0x3D4","0x14","int32[3], float[2]","RESOLVED","Active WeaponDef loader reads this slice after killIconRatio and before explosion fields, preserving five dword slots.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names iReloadAmmoAdd, iReloadStartAdd, ammoDropStockMin, ammoDropClipPercentMin, ammoDropClipPercentMax","Former PhysicsFieldsB aggregate"
"Weapon","WeaponPhysicsFields","ExplosionFields","0x3E8","0x1C","int32[4], float[3]","RESOLVED","Active WeaponDef loader reads this slice after ammo-drop fields and before projectile speed fields, preserving seven dword slots.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names iExplosionRadius, iExplosionRadiusMin, iExplosionInnerDamage, iExplosionOuterDamage, damageConeAngle, bulletExplDmgMult, bulletExplRadiusMult; Xbox map strings treat bulletExplDmgMult as a ratio/float","Former PhysicsFieldsC aggregate"
"Weapon","WeaponPhysicsFields","ProjectileMotionFields","0x404","0x1C","int32[6], float","RESOLVED","Active WeaponDef loader reads this slice immediately before projectileModel, preserving seven dword slots.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names iProjectileSpeed, iProjectileSpeedUp, iProjectileSpeedForward, iProjectileActivateDist, projLifetime, timeToAccelerate, projectileCurvature","Former PhysicsFieldsD aggregate"
"Weapon","WeaponProjectileFields","Explosion","0x424","0x04","WeaponProjectileExplosion","RESOLVED","Active WeaponDef loader reads this dword immediately after projectileModel and before projExplosionEffect/projDudEffect pointers.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names this field projExplosion; PDB strings expose weapProjExposion_t values","Former ModelField"
"Weapon","WeaponProjectileFields","Stickiness/LowAmmoWarningThreshold/RicochetChance","0x438","0x0C","WeaponStickiness, int32, float","RESOLVED","Active WeaponDef loader reads these three dwords after projExplosionSound/projDudSound and before parallel/perpendicular bounce pointers.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names stickiness, lowAmmoWarningThreshold, ricochetChance; PDB strings expose WEAPSTICKINESS values","Former ProjectileFieldsA aggregate"
"Weapon","WeaponProjectileFields","ProjectileColor","0x454","0x0C","Vec3","RESOLVED","Active WeaponDef loader reads these three dwords after projTrailEffect/projBeaconEffect and before guidedMissileType.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names vProjectileColor in this exact slot","Former ImpactFieldsA aggregate"
"Weapon","WeaponProjectileFields","GuidedMissileType","0x460","0x04","GuidedMissileType","RESOLVED","Active WeaponDef loader reads this dword after vProjectileColor and before maxSteeringAccel/projIgnitionDelay.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names guidedMissileType; PDB strings expose guidedMissileType_t values","Former ImpactFieldB"
"Weapon","WeaponProjectileFields","MaxSteeringAcceleration/IgnitionDelay","0x464","0x08","float, int32","RESOLVED","Active WeaponDef loader reads these two dwords before projIgnitionEffect/projIgnitionSound.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names maxSteeringAccel and projIgnitionDelay","Former ImpactFieldsC aggregate"
"Weapon","WeaponProjectileFields","AdsAimPitch/CrosshairFractions","0x474","0x0C","float[3]","RESOLVED","Active WeaponDef loader reads these three dwords after projIgnitionSound and before ADS gun-kick fields.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names fAdsAimPitch, fAdsCrosshairInFrac, fAdsCrosshairOutFrac","Former ShellEjectFields aggregate"
"Weapon","WeaponGunKickAndDistanceFields","Ads/HipGunKickAndDistance","0x480","0x8C","WeaponGunKickAndDistanceFields","RESOLVED","Active WeaponDef loader reads this 35-dword tail after ADS crosshair fractions and before accuracy graph pointers.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB ordered WeaponDef member list names adsGunKickReducedKickBullets through maxDist in this exact 35-field sequence","Former AdsHipGunKickAiDistanceFields aggregate"
"Weapon","WeaponTurnSpeedAndRangeFields","MinTurnSpeed/MaxTurnSpeed/PitchConvergenceTime/YawConvergenceTime/SuppressTime/MaxRange/AnimationHorizontalRotateIncrement/PlayerPositionDistance/ScanSpeed/ScanAcceleration","0x540","0x28","WeaponTurnSpeedAndRangeFields","RESOLVED","PS3 default.elf WeaponDef setup path 0x0016c480 stores parser results at +0x540..+0x564 in this order; default.elf 0x00147650, default.elf 0x001c6820, EBOOT/default_mp 0x001cb6a8 consume +0x560 as a turret scan divisor.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB member sequence provides minTurnSpeed through fPlayerPositionDist; Xbox maps contain turret.obj validation strings for weapDef->scanSpeed and weapDef->scanAccel; PS3 consumer anchors +0x560 as scanSpeed.","Former TurnSpeedAndRangeFields aggregate"
"Weapon","WeaponHintFields","UseHintStringIndex","0x570","0x04","int32","RESOLVED","PS3 WeaponDef loader reads this dword between use/drop hint strings and the +0x574 drop-hint index; default.elf/EBOOT/default_mp consumers prove the companion +0x574 index is copied when dropHintString is non-empty.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the adjacent pair iUseHintStringIndex/dropHintStringIndex in this exact slot order.","Former Unknown570"
"Weapon","WeaponHintFields","HorizontalViewJitter/VerticalViewJitter/ScanSpeed/ScanAcceleration/ScanPauseTime","0x578","0x14","float,float,float,float,int32","RESOLVED","PS3 WeaponDef loader proves this five-cell scalar slice is between dropHintStringIndex at +0x574 and szScript XString at +0x58C; default.elf/EBOOT/default_mp consumers read +0x578/+0x57C with lfs in the view-jitter path.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered member sequence horizViewJitter, vertViewJitter, scanSpeed, scanAccel, scanPauseTime. PS3 direct consumers were not found for +0x580..+0x588; those names are Xbox-correlated within the loader-proven slot.","Former HintFieldsB aggregate"
"Weapon","WeaponDef","OOPosAnimLength/MinDamage","0x590","0x08","float,float","RESOLVED","PS3 WeaponDef loader places these two scalars immediately after szScript at +0x58C; default_mp consumers read +0x590 with lfs and default.elf consumers read +0x590/+0x594 with lfs.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the adjacent fields fOOPosAnimLength and minDamage in this exact order after szScript.","Former ScriptFieldsA aggregate"
"Weapon","WeaponDef","MinPlayerDamage/MaxDamageRange/MinDamageRange/DestabilizationRateTime/DestabilizationCurvatureMax/DestabilizeDistance","0x598","0x18","int32,float,float,float,float,float","RESOLVED","PS3 WeaponDef loader places this six-cell slice after MinDamage and before the +0x5B0 scalar; default.elf/default_mp consumers hit +0x598/+0x59C as word tests and +0x5A4/+0x5A8/+0x5AC as float loads.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered member sequence minPlayerDamage, fMaxDamageRange, fMinDamageRange, destabilizationRateTime, destabilizationCurvatureMax, destabilizeDistance.","Former ScriptFieldsB aggregate"
"Weapon","WeaponDef","DestabilizeDistanceToTimeScale","0x5B0","0x04","int32","RESOLVED","PS3 default.elf/default_mp consumers load +0x5B0 as a signed integer, convert it to float, divide by ProjectileSpeed at +0x404, and multiply by a time-scale constant before storing projectile destabilization state.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB does not expose a distinct member name here; Xbox places locationDamageMultipliers next, while PS3 loader proves the pointer is at +0x5B4. Name is PS3 behavior-derived, not Xbox-derived.","Former HitLocationField"
"Weapon","WeaponDef","TurretScopeZoomRate/TurretScopeZoomMin/TurretScopeZoomMax/TurretOverheatUpRate/TurretOverheatDownRate/TurretOverheatPenalty","0x5C4","0x18","float[6]","RESOLVED","PS3 WeaponDef loader places this six-float slice immediately after tracerType at +0x5C0 and before turretOverheatSound at +0x5DC; default/default_mp consumers read +0x5C4/+0x5C8/+0x5CC and +0x5D0/+0x5D4/+0x5D8 with lfs.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered sequence turretScopeZoomRate, turretScopeZoomMin, turretScopeZoomMax, turretOverheatUpRate, turretOverheatDownRate, turretOverheatPenalty.","Former TracerFields aggregate"
"Weapon","WeaponTurretFields","BarrelSpinSpeed/BarrelSpinUpTime/BarrelSpinDownTime","0x5E8","0x0C","float[3]","RESOLVED","PS3 WeaponDef loader places these three scalars between turretBarrelSpinRumble at +0x5E4 and turretBarrelSpinMaxSnd at +0x5F4. default_mp function 0x0002B180 reads +0x5EC/+0x5F0 with lfs as the spin-up/down interpolation divisors.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered sequence turretBarrelSpinSpeed, turretBarrelSpinUpTime, turretBarrelSpinDownTime in this exact slot before turretBarrelSpinMaxSnd.","Former TurretFields aggregate"
